,no,effectiveDate,mid
128,129/A/NBP/2002,2002-07-05,6.314
129,130/A/NBP/2002,2002-07-08,6.3399
130,131/A/NBP/2002,2002-07-09,6.5223
131,132/A/NBP/2002,2002-07-10,6.4758
132,133/A/NBP/2002,2002-07-11,6.4406
133,134/A/NBP/2002,2002-07-12,6.47
134,135/A/NBP/2002,2002-07-15,6.4904
135,136/A/NBP/2002,2002-07-16,6.5596
136,137/A/NBP/2002,2002-07-17,6.4529
137,138/A/NBP/2002,2002-07-18,6.3781
138,139/A/NBP/2002,2002-07-19,6.3918
139,140/A/NBP/2002,2002-07-22,6.3273
140,141/A/NBP/2002,2002-07-23,6.3752
141,142/A/NBP/2002,2002-07-24,6.4303
142,143/A/NBP/2002,2002-07-25,6.4152
143,144/A/NBP/2002,2002-07-26,6.4549
144,145/A/NBP/2002,2002-07-29,6.4491
145,146/A/NBP/2002,2002-07-30,6.4691
146,147/A/NBP/2002,2002-07-31,6.5228
147,148/A/NBP/2002,2002-08-01,6.4828
148,149/A/NBP/2002,2002-08-02,6.5901
149,150/A/NBP/2002,2002-08-05,6.515
150,151/A/NBP/2002,2002-08-06,6.463
151,152/A/NBP/2002,2002-08-07,6.4691
152,153/A/NBP/2002,2002-08-08,6.406
153,154/A/NBP/2002,2002-08-09,6.4151
154,155/A/NBP/2002,2002-08-12,6.3807
155,156/A/NBP/2002,2002-08-13,6.3881
156,157/A/NBP/2002,2002-08-14,6.4009
157,158/A/NBP/2002,2002-08-16,6.4107
158,159/A/NBP/2002,2002-08-19,6.411
159,160/A/NBP/2002,2002-08-20,6.3389
160,161/A/NBP/2002,2002-08-21,6.3302
161,162/A/NBP/2002,2002-08-22,6.4005
162,163/A/NBP/2002,2002-08-23,6.3752
163,164/A/NBP/2002,2002-08-26,6.3585
164,165/A/NBP/2002,2002-08-27,6.3567
165,166/A/NBP/2002,2002-08-28,6.3971
166,167/A/NBP/2002,2002-08-29,6.399
167,168/A/NBP/2002,2002-08-30,6.4317
168,169/A/NBP/2002,2002-09-02,6.3907
169,170/A/NBP/2002,2002-09-03,6.4192
170,171/A/NBP/2002,2002-09-04,6.439
171,172/A/NBP/2002,2002-09-05,6.5059
172,173/A/NBP/2002,2002-09-06,6.5329
173,174/A/NBP/2002,2002-09-09,6.497
174,175/A/NBP/2002,2002-09-10,6.4557
175,176/A/NBP/2002,2002-09-11,6.4684
176,177/A/NBP/2002,2002-09-12,6.4681
177,178/A/NBP/2002,2002-09-13,6.4889
178,179/A/NBP/2002,2002-09-16,6.4803
179,180/A/NBP/2002,2002-09-17,6.4019
180,181/A/NBP/2002,2002-09-18,6.4137
181,182/A/NBP/2002,2002-09-19,6.4305
182,183/A/NBP/2002,2002-09-20,6.407
183,184/A/NBP/2002,2002-09-23,6.4337
184,185/A/NBP/2002,2002-09-24,6.4392
185,186/A/NBP/2002,2002-09-25,6.4651
186,187/A/NBP/2002,2002-09-26,6.4506
187,188/A/NBP/2002,2002-09-27,6.4578
188,189/A/NBP/2002,2002-09-30,6.4831
189,190/A/NBP/2002,2002-10-01,6.5219
190,191/A/NBP/2002,2002-10-02,6.4827
191,192/A/NBP/2002,2002-10-03,6.5093
192,193/A/NBP/2002,2002-10-04,6.5016
193,194/A/NBP/2002,2002-10-07,6.5117
194,195/A/NBP/2002,2002-10-08,6.5176
195,196/A/NBP/2002,2002-10-09,6.4724
196,197/A/NBP/2002,2002-10-10,6.4847
197,198/A/NBP/2002,2002-10-11,6.4385
198,199/A/NBP/2002,2002-10-14,6.4314
199,200/A/NBP/2002,2002-10-15,6.388
200,201/A/NBP/2002,2002-10-16,6.4222
201,202/A/NBP/2002,2002-10-17,6.4621
202,203/A/NBP/2002,2002-10-18,6.4471
203,204/A/NBP/2002,2002-10-21,6.4166
204,205/A/NBP/2002,2002-10-22,6.3832
205,206/A/NBP/2002,2002-10-23,6.372
206,207/A/NBP/2002,2002-10-24,6.3261
207,208/A/NBP/2002,2002-10-25,6.3308
208,209/A/NBP/2002,2002-10-28,6.2746
209,210/A/NBP/2002,2002-10-29,6.3097
210,211/A/NBP/2002,2002-10-30,6.3058
211,212/A/NBP/2002,2002-10-31,6.2884
212,213/A/NBP/2002,2002-11-04,6.2305
213,214/A/NBP/2002,2002-11-05,6.2183
214,215/A/NBP/2002,2002-11-06,6.2054
215,216/A/NBP/2002,2002-11-07,6.1854
216,217/A/NBP/2002,2002-11-08,6.2287
217,218/A/NBP/2002,2002-11-12,6.229
218,219/A/NBP/2002,2002-11-13,6.2324
219,220/A/NBP/2002,2002-11-14,6.2504
220,221/A/NBP/2002,2002-11-15,6.2089
221,222/A/NBP/2002,2002-11-18,6.1948
222,223/A/NBP/2002,2002-11-19,6.1582
223,224/A/NBP/2002,2002-11-20,6.1799
224,225/A/NBP/2002,2002-11-21,6.2069
225,226/A/NBP/2002,2002-11-22,6.2256
226,227/A/NBP/2002,2002-11-25,6.2033
227,228/A/NBP/2002,2002-11-26,6.2317
228,229/A/NBP/2002,2002-11-27,6.1628
229,230/A/NBP/2002,2002-11-28,6.1903
230,231/A/NBP/2002,2002-11-29,6.2105
231,232/A/NBP/2002,2002-12-02,6.2296
232,233/A/NBP/2002,2002-12-03,6.2158
233,234/A/NBP/2002,2002-12-04,6.2597
234,235/A/NBP/2002,2002-12-05,6.2588
235,236/A/NBP/2002,2002-12-06,6.2683
236,237/A/NBP/2002,2002-12-09,6.2485
237,238/A/NBP/2002,2002-12-10,6.2268
238,239/A/NBP/2002,2002-12-11,6.1947
239,240/A/NBP/2002,2002-12-12,6.1741
240,241/A/NBP/2002,2002-12-13,6.1724
241,242/A/NBP/2002,2002-12-16,6.1582
242,243/A/NBP/2002,2002-12-17,6.1913
243,244/A/NBP/2002,2002-12-18,6.2354
244,245/A/NBP/2002,2002-12-19,6.2417
245,246/A/NBP/2002,2002-12-20,6.2275
246,247/A/NBP/2002,2002-12-23,6.1994
247,248/A/NBP/2002,2002-12-24,6.1657
248,249/A/NBP/2002,2002-12-27,6.1747
249,250/A/NBP/2002,2002-12-30,6.1507
250,251/A/NBP/2002,2002-12-31,6.1802
251,1/A/NBP/2003,2003-01-02,6.1528
252,2/A/NBP/2003,2003-01-03,6.1133
253,3/A/NBP/2003,2003-01-06,6.1646
254,4/A/NBP/2003,2003-01-07,6.1399
255,5/A/NBP/2003,2003-01-08,6.1548
256,6/A/NBP/2003,2003-01-09,6.1667
257,7/A/NBP/2003,2003-01-10,6.1477
258,8/A/NBP/2003,2003-01-13,6.1118
259,9/A/NBP/2003,2003-01-14,6.1043
260,10/A/NBP/2003,2003-01-15,6.1108
261,11/A/NBP/2003,2003-01-16,6.0861
262,12/A/NBP/2003,2003-01-17,6.1644
263,13/A/NBP/2003,2003-01-20,6.1417
264,14/A/NBP/2003,2003-01-21,6.1319
265,15/A/NBP/2003,2003-01-22,6.229
266,16/A/NBP/2003,2003-01-23,6.3995
267,17/A/NBP/2003,2003-01-24,6.3072
268,18/A/NBP/2003,2003-01-27,6.2964
269,19/A/NBP/2003,2003-01-28,6.2893
270,20/A/NBP/2003,2003-01-29,6.2633
271,21/A/NBP/2003,2003-01-30,6.2399
272,22/A/NBP/2003,2003-01-31,6.3061
273,23/A/NBP/2003,2003-02-03,6.2807
274,24/A/NBP/2003,2003-02-04,6.3154
275,25/A/NBP/2003,2003-02-05,6.3156
276,26/A/NBP/2003,2003-02-06,6.3455
277,27/A/NBP/2003,2003-02-07,6.271
278,28/A/NBP/2003,2003-02-10,6.2957
279,29/A/NBP/2003,2003-02-11,6.2662
280,30/A/NBP/2003,2003-02-12,6.2439
281,31/A/NBP/2003,2003-02-13,6.242
282,32/A/NBP/2003,2003-02-14,6.2372
283,33/A/NBP/2003,2003-02-17,6.1986
284,34/A/NBP/2003,2003-02-18,6.175
285,35/A/NBP/2003,2003-02-19,6.1713
286,36/A/NBP/2003,2003-02-20,6.216
287,37/A/NBP/2003,2003-02-21,6.1831
288,38/A/NBP/2003,2003-02-24,6.1434
289,39/A/NBP/2003,2003-02-25,6.1581
290,40/A/NBP/2003,2003-02-26,6.1141
291,41/A/NBP/2003,2003-02-27,6.1492
292,42/A/NBP/2003,2003-02-28,6.1769
293,43/A/NBP/2003,2003-03-03,6.2332
294,44/A/NBP/2003,2003-03-04,6.2497
295,45/A/NBP/2003,2003-03-05,6.262
296,46/A/NBP/2003,2003-03-06,6.2734
297,47/A/NBP/2003,2003-03-07,6.2539
298,48/A/NBP/2003,2003-03-10,6.2757
299,49/A/NBP/2003,2003-03-11,6.3215
300,50/A/NBP/2003,2003-03-12,6.3869
301,51/A/NBP/2003,2003-03-13,6.4619
302,52/A/NBP/2003,2003-03-14,6.3856
303,53/A/NBP/2003,2003-03-17,6.3635
304,54/A/NBP/2003,2003-03-18,6.3832
305,55/A/NBP/2003,2003-03-19,6.3409
306,56/A/NBP/2003,2003-03-20,6.3525
307,57/A/NBP/2003,2003-03-21,6.3617
308,58/A/NBP/2003,2003-03-24,6.4017
309,59/A/NBP/2003,2003-03-25,6.4091
310,60/A/NBP/2003,2003-03-26,6.3971
311,61/A/NBP/2003,2003-03-27,6.3868
312,62/A/NBP/2003,2003-03-28,6.3672
313,63/A/NBP/2003,2003-03-31,6.3908
314,64/A/NBP/2003,2003-04-01,6.4528
315,65/A/NBP/2003,2003-04-02,6.4053
316,66/A/NBP/2003,2003-04-03,6.3502
317,67/A/NBP/2003,2003-04-04,6.371
318,68/A/NBP/2003,2003-04-07,6.3351
319,69/A/NBP/2003,2003-04-08,6.3003
320,70/A/NBP/2003,2003-04-09,6.2035
321,71/A/NBP/2003,2003-04-10,6.1806
322,72/A/NBP/2003,2003-04-11,6.2345
323,73/A/NBP/2003,2003-04-14,6.2049
324,74/A/NBP/2003,2003-04-15,6.1993
325,75/A/NBP/2003,2003-04-16,6.2353
326,76/A/NBP/2003,2003-04-17,6.1918
327,77/A/NBP/2003,2003-04-18,6.1677
328,78/A/NBP/2003,2003-04-22,6.1392
329,79/A/NBP/2003,2003-04-23,6.1218
330,80/A/NBP/2003,2003-04-24,6.2033
331,81/A/NBP/2003,2003-04-25,6.1751
332,82/A/NBP/2003,2003-04-28,6.1854
333,83/A/NBP/2003,2003-04-29,6.2026
334,84/A/NBP/2003,2003-04-30,6.1289
335,85/A/NBP/2003,2003-05-02,6.1073
336,86/A/NBP/2003,2003-05-05,6.0742
337,87/A/NBP/2003,2003-05-06,6.0534
338,88/A/NBP/2003,2003-05-07,6.0948
339,89/A/NBP/2003,2003-05-08,6.057
340,90/A/NBP/2003,2003-05-09,6.0428
341,91/A/NBP/2003,2003-05-12,6.0232
342,92/A/NBP/2003,2003-05-13,6.0479
343,93/A/NBP/2003,2003-05-14,6.0424
344,94/A/NBP/2003,2003-05-15,6.1072
345,95/A/NBP/2003,2003-05-16,6.1206
346,96/A/NBP/2003,2003-05-19,6.0682
347,97/A/NBP/2003,2003-05-20,6.0758
348,98/A/NBP/2003,2003-05-21,6.137
349,99/A/NBP/2003,2003-05-22,6.0584
350,100/A/NBP/2003,2003-05-23,6.0621
351,101/A/NBP/2003,2003-05-26,6.034
352,102/A/NBP/2003,2003-05-27,6.024
353,103/A/NBP/2003,2003-05-28,6.0526
354,104/A/NBP/2003,2003-05-29,6.1233
